part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[25,30)","[75,80)",225146,320300,545446,0.023708153,0.014983999,0.028136353,0.037637643,0.05223205,1.05E-07,6.66E-08,8.78E-08,1.18E-07,9.58E-08
"[30,35)","[75,80)",225146,320300,545446,0.021739439,0.023163286,0.023954501,0.028949127,0.048898492,9.66E-08,1.03E-07,7.48E-08,9.04E-08,8.96E-08
"[35,40)","[75,80)",225146,320300,545446,0.025567711,0.049374374,0.027569854,0.043329854,0.072672492,1.14E-07,2.19E-07,8.61E-08,1.35E-07,1.33E-07
"[40,45)","[75,80)",225146,320300,545446,0.040332615,0.071974468,0.040514323,0.058945704,0.105544826,1.79E-07,3.20E-07,1.26E-07,1.84E-07,1.94E-07
"[45,50)","[75,80)",225146,320300,545446,0.056632116,0.049830187,0.048246146,0.063083917,0.10886252,2.52E-07,2.21E-07,1.51E-07,1.97E-07,2.00E-07
"[50,55)","[75,80)",225146,320300,545446,0.056287556,0.025507414,0.054798108,0.049169809,0.093023285,2.50E-07,1.13E-07,1.71E-07,1.54E-07,1.71E-07
"[55,60)","[75,80)",225146,320300,545446,0.05939087,0.022759228,0.049366714,0.049510066,0.090708055,2.64E-07,1.01E-07,1.54E-07,1.55E-07,1.66E-07
"[60,65)","[75,80)",225146,320300,545446,0.067048502,0.035227299,0.046777213,0.060843164,0.104980865,2.98E-07,1.56E-07,1.46E-07,1.90E-07,1.92E-07
"[65,70)","[75,80)",225146,320300,545446,0.082614368,0.079411129,0.065747026,0.072784487,0.150328795,3.67E-07,3.53E-07,2.05E-07,2.27E-07,2.76E-07
"[70,75)","[75,80)",225146,320300,545446,0.078880766,0.254602038,0.138016093,0.076244767,0.278473784,3.50E-07,1.13E-06,4.31E-07,2.38E-07,5.11E-07
"[75,80)","[75,80)",225146,320300,545446,0.065987222,0.286569147,0.407681831,0.109010305,0.427812819,2.93E-07,1.27E-06,1.27E-06,3.40E-07,7.84E-07
